"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\selector-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\share.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\sort-asc.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\sort-desc.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\tablet.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\trash-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\trash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\unlink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 1, 1, 21
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\upload-picture.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\user-check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\user-follow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-circle-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-hex-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-hex.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-triangle-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 1, 1, 12
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-triangle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\eat-placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\img-placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\pattern-night-theme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 10
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\pattern.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 10
